inventory_id,product_id,quantity_in_stock,last_stocked
104,4582,172,19-01-2024
105,411,171,01-02-2024
106,1592,101,31-08-2024
107,314,180,09-05-2024
108,3697,147,01-03-2024
109,1338,200,26-08-2024
110,3922,81,24-09-2024
111,1004,159,07-07-2024
112,555,200,27-08-2024
113,2222,56,11-06-2024
114,2746,38,02-08-2024
115,3095,20,22-05-2024
116,908,180,21-04-2024
117,254,53,05-06-2024
118,1271,22,09-03-2024
119,2512,171,01-02-2024
120,4507,94,05-02-2024
121,3343,100,29-05-2024
122,1716,95,24-06-2024
123,181,70,04-01-2024
124,1575,198,03-09-2024
125,3852,121,21-01-2024
126,1288,146,10-06-2024
127,1533,98,04-03-2024
128,1032,61,17-01-2024
129,57,114,18-07-2024
130,1262,44,23-02-2024
131,3689,117,11-02-2024
132,4724,45,21-02-2024
133,2022,89,14-04-2024
134,762,199,04-01-2024
135,3854,55,26-06-2024
136,1388,60,27-10-2024
137,120,107,11-09-2024
138,1190,38,26-05-2024
139,482,93,17-06-2024
140,3301,166,20-04-2024
141,4257,69,06-10-2024
142,1041,23,04-09-2024
143,2562,185,04-09-2024
144,1328,8,11-05-2024
145,1188,124,16-09-2024
146,4785,162,23-03-2024
147,4846,115,31-05-2024
148,1950,25,29-02-2024
149,4899,67,11-08-2024
150,728,109,19-02-2024
151,4807,102,15-02-2024
152,3295,101,20-10-2024
153,2049,63,27-09-2024
154,4614,123,05-04-2024
155,4032,47,08-10-2024
156,3337,155,09-05-2024
157,1124,2,18-01-2024
158,3709,41,02-09-2024
159,4726,52,08-02-2024
160,597,66,10-02-2024
161,1386,55,03-04-2024
162,261,108,15-04-2024
163,646,71,09-04-2024
164,4030,69,23-08-2024
165,3691,191,26-05-2024
166,3625,4,29-07-2024
167,243,199,24-09-2024
168,4950,179,13-08-2024
169,4373,129,06-05-2024
170,501,181,11-01-2024
171,1071,38,17-08-2024
172,3756,139,21-02-2024
173,2419,61,06-08-2024
174,2136,56,02-02-2024
175,1962,76,23-07-2024
176,2073,83,20-04-2024
177,1416,114,16-07-2024
178,3484,91,15-08-2024
179,1981,127,18-08-2024
180,4875,110,09-04-2024
181,146,75,18-05-2024
182,3227,148,15-04-2024
183,4999,82,16-09-2024
184,468,59,07-10-2024
185,962,41,14-08-2024
186,4521,151,17-04-2024
187,516,172,12-10-2024
188,1655,192,18-08-2024
189,856,2,19-06-2024
190,2812,154,24-02-2024
191,4033,87,16-05-2024
192,2154,123,24-04-2024
193,2046,44,30-06-2024
194,3760,173,26-02-2024
195,1709,57,12-09-2024
196,3884,124,23-10-2024
197,3317,138,22-01-2024
198,2738,182,22-04-2024
199,4680,114,09-07-2024
200,2638,172,07-04-2024
201,3613,80,01-11-2024
202,1782,37,29-04-2024
203,1873,72,18-02-2024
204,4757,191,20-09-2024
205,3027,132,11-02-2024
206,4917,0,22-06-2024
207,1426,88,20-05-2024
208,754,32,08-06-2024
209,1987,190,30-03-2024
210,4263,137,08-08-2024
211,4444,138,09-04-2024
212,3380,134,15-08-2024
213,3620,13,01-01-2024
214,2389,1,12-04-2024
215,1483,117,29-05-2024
216,750,126,06-05-2024
217,1974,7,09-02-2024
218,1611,2,20-04-2024
219,4824,183,26-04-2024
220,2468,100,10-04-2024
221,300,135,28-04-2024
222,2518,94,12-06-2024
223,4222,164,26-09-2024
224,34,81,07-11-2024
225,2154,129,21-05-2024
226,4559,142,07-07-2024
227,3121,141,30-04-2024
228,1786,132,19-07-2024
229,4987,19,27-01-2024
230,2066,151,05-11-2024
231,915,150,23-04-2024
232,3611,179,14-10-2024
233,157,38,03-05-2024
234,1133,183,03-03-2024
235,1525,169,03-05-2024
236,1913,122,22-02-2024
237,4433,88,30-09-2024
238,2758,106,17-07-2024
239,3270,148,20-10-2024
240,4440,60,17-07-2024
241,3521,120,26-07-2024
242,1793,73,15-09-2024
243,3397,113,05-11-2024
244,1967,17,01-06-2024
245,3485,11,25-04-2024
246,3553,179,27-05-2024
247,2736,118,03-05-2024
248,4724,122,07-01-2024
249,3816,136,05-08-2024
250,164,102,25-08-2024
251,2554,132,30-03-2024
252,185,127,10-01-2024
253,3365,64,07-04-2024
254,4957,17,02-04-2024
255,25,181,01-02-2024
256,3774,91,03-07-2024
257,1495,185,04-08-2024
258,2603,63,24-04-2024
259,4615,133,01-03-2024
260,1915,21,30-01-2024
261,500,9,02-04-2024
262,3384,68,19-08-2024
263,3048,185,08-02-2024
264,1883,26,27-03-2024
265,125,159,28-10-2024
266,3641,189,18-06-2024
267,2391,103,29-09-2024
268,3687,116,24-08-2024
269,337,110,27-08-2024
270,4203,92,12-07-2024
271,3552,22,12-05-2024
272,1211,6,11-04-2024
273,4899,159,23-07-2024
274,3180,34,25-03-2024
275,3661,59,26-08-2024
276,4872,31,24-03-2024
277,4564,98,08-07-2024
278,510,184,07-07-2024
279,699,167,06-07-2024
280,2568,157,21-02-2024
281,1937,147,17-10-2024
282,1879,68,28-10-2024
283,2231,144,20-06-2024
284,1896,47,13-10-2024
285,992,133,17-02-2024
286,4785,162,20-05-2024
287,3375,175,07-04-2024
288,2649,124,28-02-2024
289,4949,146,04-03-2024
290,6,147,09-04-2024
291,3447,44,14-02-2024
292,4304,88,04-03-2024
293,318,163,03-05-2024
294,4445,105,23-10-2024
295,236,197,05-11-2024
296,1435,30,01-01-2024
297,1635,43,05-10-2024
298,1255,126,20-03-2024
299,802,140,23-07-2024
300,3065,64,20-09-2024
301,4419,44,22-03-2024
302,1847,161,16-04-2024
303,1451,146,21-10-2024
304,2290,84,08-02-2024
305,3029,15,13-03-2024
306,4806,189,21-04-2024
307,3746,174,03-07-2024
308,1071,26,23-02-2024
309,72,199,11-03-2024
310,3501,182,30-03-2024
311,2484,37,25-06-2024
312,3309,77,26-02-2024
313,3714,83,17-01-2024
314,3226,109,21-06-2024
315,544,188,25-04-2024
316,4702,48,27-01-2024
317,3357,10,20-08-2024
318,3030,146,06-07-2024
319,1039,165,14-05-2024
320,3466,64,25-03-2024
321,1229,157,04-07-2024
322,2823,185,20-01-2024
323,2429,32,19-09-2024
324,3817,99,21-01-2024
325,2311,150,15-06-2024
326,2510,123,01-04-2024
327,2602,45,03-03-2024
328,3474,14,01-04-2024
329,4550,189,19-08-2024
330,471,83,22-08-2024
331,1688,112,04-08-2024
332,3582,69,14-09-2024
333,4303,80,31-08-2024
334,1449,133,03-08-2024
335,3120,92,09-07-2024
336,3867,119,26-06-2024
337,3461,56,22-03-2024
338,530,61,28-03-2024
339,3198,118,24-05-2024
340,2830,165,02-03-2024
341,2007,153,07-02-2024
342,326,143,01-01-2024
343,37,181,25-07-2024
344,2605,0,12-05-2024
345,3845,148,24-07-2024
346,4000,129,14-03-2024
347,2190,192,05-09-2024
348,1062,118,27-06-2024
349,3635,120,22-05-2024
350,4127,133,18-05-2024
351,1492,172,22-09-2024
352,3155,145,31-07-2024
353,1880,101,31-10-2024
354,2714,4,01-11-2024
355,2576,98,10-03-2024
356,2556,85,10-06-2024
357,4577,77,28-03-2024
358,1386,173,02-03-2024
359,4770,16,04-02-2024
360,306,135,23-07-2024
361,1056,46,22-08-2024
362,2192,154,19-04-2024
363,859,178,06-11-2024
364,3780,190,26-10-2024
365,2450,12,24-10-2024
366,4253,91,23-05-2024
367,3649,89,08-02-2024
368,3015,104,09-10-2024
369,2933,139,24-01-2024
370,869,165,04-08-2024
371,1324,45,22-07-2024
372,1767,36,14-05-2024
373,4365,136,24-10-2024
374,2748,173,16-07-2024
375,3356,177,07-08-2024
376,903,88,01-10-2024
377,1087,170,24-09-2024
378,2546,85,12-08-2024
379,817,143,19-07-2024
380,2779,125,02-10-2024
381,2939,38,16-09-2024
382,2566,8,06-02-2024
383,4991,70,23-07-2024
384,2785,94,17-02-2024
385,414,138,08-02-2024
386,3321,162,06-11-2024
387,2631,59,21-08-2024
388,4624,88,28-08-2024
389,2178,89,14-04-2024
390,3514,105,11-03-2024
391,922,55,06-08-2024
392,2979,86,16-02-2024
393,3839,160,11-07-2024
394,39,49,03-10-2024
395,1293,198,05-08-2024
396,95,119,01-04-2024
397,4087,62,20-04-2024
398,1028,141,22-02-2024
399,2348,85,29-10-2024
400,1661,197,06-09-2024
401,1808,178,01-01-2024
402,4819,163,08-06-2024
403,3853,6,09-04-2024
404,3585,105,14-03-2024
405,1863,175,18-03-2024
406,1660,39,12-09-2024
407,4450,77,16-08-2024
408,4245,149,16-10-2024
409,4343,189,11-09-2024
410,2854,38,03-05-2024
411,2592,164,11-05-2024
412,2209,177,14-03-2024
413,32,16,29-04-2024
414,4752,161,16-03-2024
415,3045,77,13-03-2024
416,4491,192,20-04-2024
417,3335,81,06-08-2024
418,3525,187,19-09-2024
419,4713,100,25-06-2024
420,1289,131,03-10-2024
421,2256,83,08-02-2024
422,1049,179,25-10-2024
423,4650,196,19-08-2024
424,2243,19,21-06-2024
425,1839,49,19-02-2024
426,3393,130,30-08-2024
427,3247,138,05-01-2024
428,3085,112,15-04-2024
429,2120,152,20-01-2024
430,2055,170,07-08-2024
431,4204,188,19-09-2024
432,837,16,24-03-2024
433,3935,161,12-03-2024
434,3952,48,23-04-2024
435,3870,122,27-02-2024
436,523,187,17-04-2024
437,614,171,28-10-2024
438,838,175,17-03-2024
439,4645,67,31-08-2024
440,3794,124,26-10-2024
441,766,4,13-01-2024
442,3863,163,10-01-2024
443,2727,127,26-08-2024
444,4869,111,07-09-2024
445,2300,79,01-02-2024
446,2385,15,21-09-2024
447,1723,134,14-10-2024
448,4190,31,23-10-2024
449,3056,53,27-06-2024
450,4395,137,28-03-2024
451,1479,40,13-02-2024
452,1679,79,26-05-2024
453,139,156,15-03-2024
454,487,30,27-03-2024
455,4206,68,21-02-2024
456,3733,66,23-04-2024
457,4844,172,08-09-2024
458,100,150,29-03-2024
459,2956,111,02-01-2024
460,2559,18,12-09-2024
461,338,40,19-07-2024
462,1511,25,11-09-2024
463,4671,9,05-11-2024
464,34,107,15-09-2024
465,3590,38,12-07-2024
466,4400,97,24-10-2024
467,1781,167,07-03-2024
468,2321,87,28-04-2024
469,4639,139,08-04-2024
470,4599,168,05-07-2024
471,1528,93,14-07-2024
472,1053,66,02-04-2024
473,2589,194,10-08-2024
474,3100,52,13-10-2024
475,2634,71,12-01-2024
476,522,191,07-07-2024
477,3008,63,16-02-2024
478,3993,35,22-02-2024
479,1658,187,02-02-2024
480,4600,180,05-03-2024
481,4112,96,22-05-2024
482,2559,33,11-07-2024
483,4601,78,28-08-2024
484,1357,148,28-07-2024
485,4494,192,16-08-2024
486,2825,52,16-06-2024
487,4198,123,21-08-2024
488,3921,185,31-01-2024
489,1767,101,20-01-2024
490,3412,102,26-02-2024
491,652,61,27-04-2024
492,4888,75,13-02-2024
493,1184,147,08-08-2024
494,2155,34,14-07-2024
495,2414,39,12-09-2024
496,2811,121,10-03-2024
497,1040,53,01-07-2024
498,4697,169,24-10-2024
499,734,53,04-03-2024
500,4963,113,19-04-2024
501,3818,87,22-04-2024
502,664,114,09-09-2024
503,3321,135,30-08-2024
504,4552,171,19-05-2024
505,965,18,09-03-2024
506,4665,40,15-01-2024
507,3935,147,20-06-2024
508,3219,26,29-05-2024
509,2337,3,09-08-2024
510,2727,81,14-08-2024
511,651,65,01-09-2024
512,3268,138,30-01-2024
513,14,199,18-05-2024
514,1977,153,25-02-2024
515,4932,188,28-07-2024
516,2172,64,22-03-2024
517,3486,31,03-02-2024
518,3401,179,04-02-2024
519,1957,149,27-10-2024
520,3466,178,07-08-2024
521,3490,16,29-06-2024
522,2886,91,10-07-2024
523,1345,126,15-07-2024
524,4065,77,11-08-2024
525,1228,191,18-05-2024
526,877,156,11-02-2024
527,4191,108,14-06-2024
528,858,29,06-06-2024
529,3934,32,19-05-2024
530,4052,115,22-01-2024
531,3068,141,11-02-2024
532,1388,12,26-07-2024
533,4646,172,19-01-2024
534,98,52,21-01-2024
535,4541,54,24-05-2024
536,1992,195,17-04-2024
537,2700,30,25-04-2024
538,2370,38,09-01-2024
539,2986,150,18-10-2024
540,2644,195,25-02-2024
541,1099,97,30-06-2024
542,33,34,18-06-2024
543,59,72,31-05-2024
544,4574,183,23-01-2024
545,328,187,15-02-2024
546,1176,52,15-09-2024
547,4861,166,19-02-2024
548,3571,33,27-03-2024
549,901,162,07-02-2024
550,1105,159,31-05-2024
551,4559,26,23-02-2024
552,283,162,11-05-2024
553,1670,121,02-07-2024
554,1833,24,22-05-2024
555,1499,33,05-02-2024
556,3440,195,10-01-2024
557,4797,182,14-01-2024
558,3150,40,08-01-2024
559,4840,88,24-03-2024
560,4850,36,29-05-2024
561,3206,167,08-06-2024
562,1210,147,18-10-2024
563,4165,116,27-07-2024
564,3916,54,15-05-2024
565,4143,40,02-07-2024
566,1043,140,01-05-2024
567,4125,106,02-04-2024
568,1534,161,15-08-2024
569,4501,32,29-10-2024
570,1867,143,03-07-2024
571,2645,100,06-09-2024
572,2554,166,01-04-2024
573,4463,188,01-08-2024
574,2582,137,14-04-2024
575,1401,45,05-11-2024
576,4992,158,24-06-2024
577,1228,16,05-09-2024
578,323,180,04-11-2024
579,2019,117,05-02-2024
580,4283,199,16-10-2024
581,2698,91,26-09-2024
582,3297,116,31-07-2024
583,1592,25,14-04-2024
584,3961,84,07-11-2024
585,1752,124,22-05-2024
586,632,16,14-07-2024
587,3318,28,29-01-2024
588,4427,13,30-05-2024
589,1564,189,29-03-2024
590,3126,120,19-01-2024
591,510,196,09-03-2024
592,2705,120,11-02-2024
593,4195,195,08-03-2024
594,1163,69,18-08-2024
595,666,109,08-11-2024
596,3021,56,31-01-2024
597,1638,9,27-07-2024
598,131,47,02-03-2024
599,4159,27,15-03-2024
600,593,117,07-06-2024
601,4557,142,16-03-2024
602,2799,183,03-07-2024
603,4708,15,22-02-2024
604,3872,64,08-05-2024
605,4105,122,13-02-2024
606,2548,52,06-02-2024
607,3389,1,24-02-2024
608,1045,88,19-08-2024
609,1507,170,14-09-2024
610,4971,52,21-07-2024
611,4136,108,13-01-2024
612,591,179,15-10-2024
613,188,104,20-03-2024
614,3519,31,20-10-2024
615,3179,182,06-10-2024
616,1756,109,03-02-2024
617,3487,162,21-01-2024
618,1546,64,29-02-2024
619,2438,42,27-05-2024
620,1278,58,29-02-2024
621,1408,87,31-03-2024
622,1806,108,20-06-2024
623,3264,102,10-01-2024
624,4579,188,20-05-2024
625,2936,62,15-01-2024
626,564,190,28-05-2024
627,3947,69,30-10-2024
628,4713,35,25-06-2024
629,492,157,18-09-2024
630,4956,181,24-04-2024
631,143,31,04-08-2024
632,3844,131,07-10-2024
633,537,190,08-03-2024
634,4332,178,19-09-2024
635,2784,200,16-05-2024
636,2715,8,03-03-2024
637,1575,195,29-02-2024
638,2717,96,11-08-2024
639,2858,49,03-03-2024
640,449,199,06-05-2024
641,2723,57,19-04-2024
642,2669,6,07-11-2024
643,797,143,01-06-2024
644,4269,189,10-05-2024
645,4630,92,20-10-2024
646,1223,187,30-09-2024
647,1823,7,18-09-2024
648,220,105,18-04-2024
649,4856,93,10-07-2024
650,4577,91,26-05-2024
651,2990,2,27-03-2024
652,157,33,30-01-2024
653,1979,15,16-06-2024
654,2721,29,21-08-2024
655,3232,164,05-02-2024
656,1847,75,25-04-2024
657,201,129,23-05-2024
658,1190,58,17-05-2024
659,2045,188,19-08-2024
660,1406,78,21-01-2024
661,3122,82,21-03-2024
662,298,98,29-05-2024
663,2805,120,11-05-2024
664,4599,178,28-03-2024
665,742,159,17-05-2024
666,1538,93,17-10-2024
667,2028,61,19-04-2024
668,2350,72,02-03-2024
669,3557,75,20-03-2024
670,2855,178,20-06-2024
671,4826,52,02-03-2024
672,3171,183,09-04-2024
673,1979,56,18-06-2024
674,1732,173,13-06-2024
675,4287,91,24-06-2024
676,3665,131,29-05-2024
677,2194,105,16-10-2024
678,1824,121,18-02-2024
679,4321,48,05-03-2024
680,4244,191,07-06-2024
681,428,96,28-09-2024
682,2674,184,06-07-2024
683,350,82,31-05-2024
684,1853,91,29-01-2024
685,3191,160,10-07-2024
686,301,38,28-04-2024
687,3321,9,07-09-2024
688,3282,36,19-06-2024
689,1545,161,16-08-2024
690,633,165,05-01-2024
691,1700,127,17-04-2024
692,863,171,08-11-2024
693,681,145,18-05-2024
694,4758,106,18-10-2024
695,1959,145,10-05-2024
696,4533,185,05-03-2024
697,3398,17,20-10-2024
698,4434,155,25-02-2024
699,3977,9,24-04-2024
700,2631,20,08-10-2024
701,1821,91,20-10-2024
702,388,59,07-03-2024
703,4236,46,25-09-2024
704,899,152,17-01-2024
705,231,29,19-05-2024
706,4531,47,19-08-2024
707,3642,123,30-10-2024
708,1094,170,14-06-2024
709,628,87,11-04-2024
710,2358,61,27-02-2024
711,4862,115,22-05-2024
712,90,146,22-04-2024
713,3633,64,22-08-2024
714,4073,23,23-06-2024
715,408,132,25-07-2024
716,640,24,21-01-2024
717,3805,4,25-05-2024
718,405,116,15-04-2024
719,1513,115,30-03-2024
720,2918,112,06-07-2024
721,1272,36,02-02-2024
722,16,160,27-08-2024
723,946,180,11-09-2024
724,1013,55,03-06-2024
725,2795,148,16-01-2024
726,3042,164,26-09-2024
727,4541,139,08-09-2024
728,237,21,14-03-2024
729,4244,177,22-04-2024
730,3009,136,18-10-2024
731,3027,24,08-11-2024
732,4841,187,17-07-2024
733,2200,160,29-08-2024
734,633,153,07-07-2024
735,860,64,27-03-2024
736,1153,101,27-01-2024
737,2547,137,12-02-2024
738,4276,197,15-06-2024
739,333,11,19-01-2024
740,584,169,17-02-2024
741,4197,44,15-05-2024
742,287,166,27-05-2024
743,4140,198,13-05-2024
744,389,115,01-04-2024
745,1224,132,07-08-2024
746,4375,158,22-08-2024
747,979,145,23-05-2024
748,3476,65,12-03-2024
749,2771,177,05-02-2024
750,784,193,07-02-2024
751,4463,12,26-10-2024
752,1034,156,15-10-2024
753,4739,51,05-09-2024
754,540,1,10-10-2024
755,3432,99,21-09-2024
756,2684,127,03-05-2024
757,2716,89,18-04-2024
758,2043,145,12-03-2024
759,1352,55,09-04-2024
760,2133,115,02-01-2024
761,975,166,06-02-2024
762,90,14,14-05-2024
763,3884,166,09-01-2024
764,3295,144,19-09-2024
765,2191,132,14-10-2024
766,4459,52,11-04-2024
767,2694,45,23-03-2024
768,926,23,05-09-2024
769,507,132,29-06-2024
770,4637,177,25-08-2024
771,2182,196,02-11-2024
772,4785,172,24-01-2024
773,3225,190,30-09-2024
774,3127,190,22-07-2024
775,300,42,10-06-2024
776,735,129,31-07-2024
777,3626,151,11-01-2024
778,2600,196,25-07-2024
779,4695,200,08-11-2024
780,4521,60,17-07-2024
781,485,141,03-04-2024
782,4144,114,11-05-2024
783,4350,32,23-07-2024
784,3511,113,05-10-2024
785,2543,99,17-10-2024
786,80,193,23-05-2024
787,4399,153,16-05-2024
788,1048,89,14-07-2024
789,2208,157,07-09-2024
790,755,88,28-03-2024
791,2562,102,14-06-2024
792,3642,198,11-04-2024
793,1579,198,04-05-2024
794,4166,22,12-04-2024
795,967,113,03-09-2024
796,4284,43,06-08-2024
797,3883,75,23-06-2024
798,187,131,24-05-2024
799,716,76,24-10-2024
800,3100,135,26-08-2024
801,2481,83,23-06-2024
802,1949,107,11-08-2024
803,1405,56,07-08-2024
804,1652,168,26-10-2024
805,1903,161,22-10-2024
806,3177,137,03-10-2024
807,2736,43,06-07-2024
808,2100,29,10-04-2024
809,209,92,21-02-2024
810,243,43,15-05-2024
811,822,184,11-10-2024
812,1329,160,23-04-2024
813,4949,137,03-03-2024
814,3276,193,02-09-2024
815,4331,101,13-08-2024
816,782,19,08-09-2024
817,3589,142,23-01-2024
818,4544,124,10-10-2024
819,3072,157,25-10-2024
820,2479,96,27-04-2024
821,3754,98,23-03-2024
822,2794,12,29-05-2024
823,4407,52,24-07-2024
824,4686,132,06-03-2024
825,239,12,05-11-2024
826,4865,24,04-07-2024
827,1245,8,06-05-2024
828,4054,103,05-06-2024
829,3290,75,19-07-2024
830,2525,21,09-04-2024
831,4339,161,15-08-2024
832,916,72,11-07-2024
833,529,199,17-09-2024
834,4940,188,24-07-2024
835,2527,95,07-05-2024
836,124,7,24-01-2024
837,403,198,26-09-2024
838,2156,114,24-06-2024
839,3057,45,21-07-2024
840,1638,156,05-09-2024
841,4791,64,16-06-2024
842,1724,89,07-11-2024
843,139,74,05-07-2024
844,3596,8,11-03-2024
845,1385,61,23-10-2024
846,4304,32,03-05-2024
847,4465,39,31-03-2024
848,3657,124,23-01-2024
849,4699,90,21-10-2024
850,3444,102,17-07-2024
851,1705,90,11-02-2024
852,2862,2,09-05-2024
853,2356,156,24-07-2024
854,2347,97,03-01-2024
855,1425,71,30-07-2024
856,2508,151,05-06-2024
857,2041,54,19-06-2024
858,4540,60,21-07-2024
859,3374,43,19-09-2024
860,4985,176,29-10-2024
861,211,137,19-08-2024
862,1572,76,11-04-2024
863,2605,70,24-05-2024
864,2488,115,12-02-2024
865,106,172,11-02-2024
866,652,70,21-08-2024
867,2219,147,27-03-2024
868,744,43,20-09-2024
869,4422,71,02-03-2024
870,2959,195,08-11-2024
871,3243,46,20-04-2024
872,537,60,09-06-2024
873,3669,136,06-07-2024
874,715,49,28-01-2024
875,3463,34,07-09-2024
876,3785,143,04-10-2024
877,1082,76,06-09-2024
878,2982,103,06-08-2024
879,2300,48,27-08-2024
880,1163,49,18-08-2024
881,4937,139,29-02-2024
882,2739,116,29-06-2024
883,1475,155,10-05-2024
884,391,1,07-03-2024
885,188,104,25-03-2024
886,1961,73,19-06-2024
887,2701,182,10-02-2024
888,1677,72,08-01-2024
889,2689,66,04-01-2024
890,4661,137,08-10-2024
891,3409,66,27-02-2024
892,26,198,09-10-2024
893,1627,194,05-11-2024
894,955,73,29-08-2024
895,3346,97,03-11-2024
896,3130,139,22-05-2024
897,4127,142,25-08-2024
898,1192,72,05-09-2024
899,938,38,29-05-2024
900,3045,81,14-03-2024
901,2015,48,03-05-2024
902,412,133,29-01-2024
903,4284,98,07-11-2024
904,2984,124,24-10-2024
905,1778,152,05-08-2024
906,1556,69,07-07-2024
907,3527,125,16-05-2024
908,229,183,24-06-2024
909,4917,170,22-01-2024
910,257,76,22-05-2024
911,3434,118,20-03-2024
912,3472,139,11-03-2024
913,3894,119,17-01-2024
914,4835,7,06-08-2024
915,477,178,05-10-2024
916,2383,48,05-04-2024
917,2582,19,26-05-2024
918,3440,73,30-01-2024
919,536,78,26-03-2024
920,3152,35,22-09-2024
921,2510,152,02-09-2024
922,4324,97,08-01-2024
923,2699,15,26-01-2024
924,3464,54,22-04-2024
925,848,34,01-05-2024
926,3919,98,07-06-2024
927,1052,49,16-04-2024
928,4861,82,02-11-2024
929,592,121,12-02-2024
930,2923,141,29-08-2024
931,3786,41,06-07-2024
932,802,124,02-03-2024
933,2043,98,02-10-2024
934,1243,150,07-08-2024
935,446,76,11-09-2024
936,57,31,22-04-2024
937,1563,180,28-01-2024
938,2594,34,12-09-2024
939,514,132,23-01-2024
940,4009,45,23-03-2024
941,2158,153,14-06-2024
942,3892,87,10-07-2024
943,216,72,07-05-2024
944,1626,159,25-07-2024
945,1150,113,06-01-2024
946,3876,65,30-05-2024
947,4297,160,08-08-2024
948,80,116,30-10-2024
949,2183,169,06-10-2024
950,1798,33,27-03-2024
951,228,168,29-02-2024
952,4621,52,02-10-2024
953,3376,139,10-10-2024
954,1960,158,26-10-2024
955,7,112,27-10-2024
956,1077,172,07-10-2024
957,12,110,22-07-2024
958,1520,69,17-08-2024
959,2847,7,13-04-2024
960,3526,164,16-01-2024
961,1594,135,28-01-2024
962,4505,120,05-02-2024
963,3395,113,26-06-2024
964,1982,9,31-01-2024
965,4691,20,14-03-2024
966,1544,80,14-01-2024
967,4093,94,18-10-2024
968,4945,192,06-04-2024
969,2566,140,01-10-2024
970,2192,153,07-07-2024
971,4258,196,11-01-2024
972,64,152,28-08-2024
973,369,61,27-06-2024
974,2325,152,09-02-2024
975,2064,97,24-07-2024
976,1501,187,12-04-2024
977,3832,168,09-06-2024
978,4405,150,27-06-2024
979,4213,82,17-08-2024
980,2341,6,23-01-2024
981,2209,143,02-08-2024
982,2846,107,29-06-2024
983,906,121,03-07-2024
984,2022,97,06-11-2024
985,4797,16,28-09-2024
986,3661,20,31-03-2024
987,2335,47,03-07-2024
988,4836,87,24-03-2024
989,3689,195,04-09-2024
990,383,183,11-02-2024
991,4117,7,10-06-2024
992,4759,107,07-11-2024
993,496,4,09-08-2024
994,1904,103,04-11-2024
995,3799,86,25-02-2024
996,3022,96,22-06-2024
997,2528,100,13-05-2024
998,2621,146,24-08-2024
999,4418,61,06-03-2024
1000,2528,105,09-07-2024
1001,186,180,30-04-2024
1002,2869,75,09-06-2024
1003,3670,169,19-01-2024
1004,3661,95,02-02-2024
1005,4600,69,17-01-2024
1006,2291,129,07-01-2024
1007,4454,75,04-06-2024
1008,4961,168,04-09-2024
1009,1874,183,24-08-2024
